[Precentral_L description goes here]
[Precentral_R description goes here]
[Frontal_Sup_L description goes here]
[Frontal_Sup_R description goes here]
[Frontal_Sup_Orb_L description goes here]
[Frontal_Sup_Orb_R description goes here]
[Frontal_Mid_L description goes here]
[Frontal_Mid_R description goes here]
[Frontal_Mid_Orb_L description goes here]
[Frontal_Mid_Orb_R description goes here]
[Frontal_Inf_Oper_L description goes here]
[Frontal_Inf_Oper_R description goes here]
[Frontal_Inf_Tri_L description goes here]
[Frontal_Inf_Tri_R description goes here]
[Frontal_Inf_Orb_L description goes here]
[Frontal_Inf_Orb_R description goes here]
[Rolandic_Oper_L description goes here]
[Rolandic_Oper_R description goes here]
[Supp_Motor_Area_L description goes here]
[Supp_Motor_Area_R description goes here]
[Olfactory_L description goes here]
[Olfactory_R description goes here]
[Frontal_Sup_Medial_L description goes here]
[Frontal_Sup_Medial_R description goes here]
[Frontal_Med_Orb_L description goes here]
[Frontal_Med_Orb_R description goes here]
[Rectus_L description goes here]
[Rectus_R description goes here]
[Insula_L description goes here]
[Insula_R description goes here]
[Cingulum_Ant_L description goes here]
[Cingulum_Ant_R description goes here]
[Cingulum_Mid_L description goes here]
[Cingulum_Mid_R description goes here]
[Cingulum_Post_L description goes here]
[Cingulum_Post_R description goes here]
[Hippocampus_L description goes here]
[Hippocampus_R description goes here]
[ParaHippocampal_L description goes here]
[ParaHippocampal_R description goes here]
[Amygdala_L description goes here]
[Amygdala_R description goes here]
[Calcarine_L description goes here]
[Calcarine_R description goes here]
[Cuneus_L description goes here]
[Cuneus_R description goes here]
[Lingual_L description goes here]
[Lingual_R description goes here]
[Occipital_Sup_L description goes here]
[Occipital_Sup_R description goes here]
[Occipital_Mid_L description goes here]
[Occipital_Mid_R description goes here]
[Occipital_Inf_L description goes here]
[Occipital_Inf_R description goes here]
[Fusiform_L description goes here]
[Fusiform_R description goes here]
[Postcentral_L description goes here]
[Postcentral_R description goes here]
[Parietal_Sup_L description goes here]
[Parietal_Sup_R description goes here]
[Parietal_Inf_L description goes here]
[Parietal_Inf_R description goes here]
[SupraMarginal_L description goes here]
[SupraMarginal_R description goes here]
[Angular_L description goes here]
[Angular_R description goes here]
[Precuneus_L description goes here]
[Precuneus_R description goes here]
[Paracentral_Lobule_L description goes here]
[Paracentral_Lobule_R description goes here]
[Caudate_L description goes here]
[Caudate_R description goes here]
[Putamen_L description goes here]
[Putamen_R description goes here]
[Pallidum_L description goes here]
[Pallidum_R description goes here]
[Thalamus_L description goes here]
[Thalamus_R description goes here]
[Heschl_L description goes here]
[Heschl_R description goes here]
[Temporal_Sup_L description goes here]
[Temporal_Sup_R description goes here]
[Temporal_Pole_Sup_L description goes here]
[Temporal_Pole_Sup_R description goes here]
[Temporal_Mid_L description goes here]
[Temporal_Mid_R description goes here]
[Temporal_Pole_Mid_L description goes here]
[Temporal_Pole_Mid_R description goes here]
[Temporal_Inf_L description goes here]
[Temporal_Inf_R description goes here]
[Cerebelum_Crus1_L description goes here]
[Cerebelum_Crus1_R description goes here]
[Cerebelum_Crus2_L description goes here]
[Cerebelum_Crus2_R description goes here]
[Cerebelum_3_L description goes here]
[Cerebelum_3_R description goes here]
[Cerebelum_4_5_L description goes here]
[Cerebelum_4_5_R description goes here]
[Cerebelum_6_L description goes here]
[Cerebelum_6_R description goes here]
[Cerebelum_7b_L description goes here]
[Cerebelum_7b_R description goes here]
[Cerebelum_8_L description goes here]
[Cerebelum_8_R description goes here]
[Cerebelum_9_L description goes here]
[Cerebelum_9_R description goes here]
[Cerebelum_10_L description goes here]
[Cerebelum_10_R description goes here]
[Vermis_1_2 description goes here]
[Vermis_3 description goes here]
[Vermis_4_5 description goes here]
[Vermis_6 description goes here]
[Vermis_7 description goes here]
[Vermis_8 description goes here]
[Vermis_9 description goes here]
[Vermis_10 description goes here]
[BNST_L description goes here]
[BNST_R description goes here]
